antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'construction_tools_construction'}),frozenset({'toys'}),0.007828810020876827,0.05636743215031315,0.0015657620041753654,0.2,3.5481481481481483,1.0,0.0011244720865058993,1.1795407098121085,0.7238295633876908,0.025,0.152212389380531,0.1138888888888889
frozenset({'fixed_telephony'}),frozenset({'housewares'}),0.0036534446764091857,0.08298538622129437,0.0010438413361169101,0.2857142857142857,3.442946990116801,1.0,0.0007406588186069621,1.2838204592901878,0.712152959664746,0.012195121951219511,0.22107488413692167,0.14914645103324348
frozenset({'musical_instruments'}),frozenset({'fashion_bags_accessories'}),0.007306889352818371,0.05219206680584551,0.0010438413361169101,0.14285714285714285,2.737142857142857,1.0,0.0006624796788716925,1.1057759220598469,0.6393270241850685,0.017857142857142856,0.09565764631843926,0.08142857142857142
frozenset({'baby'}),frozenset({'toys'}),0.03392484342379958,0.05636743215031315,0.005219206680584551,0.15384615384615385,2.7293447293447293,1.0,0.003306950370683531,1.115202125640539,0.655861696380335,0.06134969325153374,0.10330156569094624,0.12321937321937322
frozenset({'kitchen_dining_laundry_garden_furniture'}),frozenset({'bed_bath_table'}),0.0026096033402922755,0.17536534446764093,0.0010438413361169101,0.39999999999999997,2.2809523809523804,1.0,0.0005862073474226489,1.3743910925539315,0.5630559916274201,0.005899705014749261,0.27240506329113917,0.20297619047619045
frozenset({'drinks'}),frozenset({'housewares'}),0.005741127348643006,0.08298538622129437,0.0010438413361169101,0.1818181818181818,2.190966266437964,1.0,0.0005674116657441346,1.1207956390628624,0.5467191601049869,0.011904761904761904,0.10777668546592846,0.09719839908519153
"frozenset({'bed_bath_table', 'unknown_category'})",frozenset({'furniture_decor'}),0.0036534446764091857,0.13569937369519833,0.0010438413361169101,0.2857142857142857,2.1054945054945056,1.0,0.0005480711816981272,1.2100208768267222,0.5269774751178629,0.007547169811320754,0.173567977915804,0.14670329670329668
frozenset({'fashion_shoes'}),frozenset({'health_beauty'}),0.004697286012526096,0.10908141962421712,0.0010438413361169101,0.2222222222222222,2.0372142477405633,1.0,0.0005314547094895855,1.145466746197435,0.5115364446775038,0.009259259259259259,0.12699342576319728,0.11589580010632641
frozenset({'home_construction'}),frozenset({'computers_accessories'}),0.006784968684759917,0.07776617954070981,0.0010438413361169101,0.15384615384615383,1.9783169850283941,1.0,0.0005162002431997767,1.0899126969064339,0.4978980557015238,0.012499999999999999,0.08249532018632186,0.08363448631905007
frozenset({'food_drink'}),frozenset({'sports_leisure'}),0.0041753653444676405,0.13569937369519833,0.0010438413361169101,0.25,1.8423076923076924,1.0,0.00047724687392401526,1.1524008350730688,0.45911949685534587,0.007518796992481203,0.1322463768115942,0.12884615384615383
