ds,y
2017-08-19,15086.02
2017-08-20,14955.17
2017-08-21,25659.09
2017-08-22,19680.579999999998
2017-08-23,18593.79
2017-08-24,16094.41
2017-08-25,16860.83
2017-08-26,11996.64
2017-08-27,15462.99
2017-08-28,24998.96
2017-08-29,36458.7
2017-08-30,34590.27
2017-08-31,22949.989999999998
2017-09-01,31895.0
2017-09-02,20479.18
2017-09-03,30749.17
2017-09-04,28385.22
2017-09-05,24335.29
2017-09-06,28304.19
2017-09-07,19096.76
2017-09-08,14161.87
2017-09-09,17681.22
2017-09-10,20041.510000000002
2017-09-11,26916.45
2017-09-12,31987.63
2017-09-13,31601.2
2017-09-14,26199.83
2017-09-15,21193.36
2017-09-16,21864.87
2017-09-17,22826.04
2017-09-18,32016.39
2017-09-19,22906.86
2017-09-20,25726.43
2017-09-21,21528.2
2017-09-22,18456.2
2017-09-23,11570.58
2017-09-24,15371.22
2017-09-25,20501.94
2017-09-26,25146.46
2017-09-27,24083.23
2017-09-28,26240.8
2017-09-29,33576.53
2017-09-30,13777.77
2017-10-01,21048.67
2017-10-02,25178.3
2017-10-03,29694.13
2017-10-04,24787.579999999998
2017-10-05,28373.15
2017-10-06,19924.420000000002
2017-10-07,17342.89
2017-10-08,19424.09
2017-10-09,33476.11
2017-10-10,31450.93
2017-10-11,24683.19
2017-10-12,21764.23
2017-10-13,25707.8
2017-10-14,16131.48
2017-10-15,21097.05
2017-10-16,34720.19
2017-10-17,34350.73
2017-10-18,31501.88
2017-10-19,26815.72
2017-10-20,21471.4
2017-10-21,17101.82
2017-10-22,22890.19
2017-10-23,25349.25
2017-10-24,25677.06
2017-10-25,20672.87
2017-10-26,25578.34
2017-10-27,23158.06
2017-10-28,18922.48
2017-10-29,20055.170000000002
2017-10-30,22367.93
2017-10-31,26846.59
2017-11-01,22029.14
2017-11-02,23941.1
2017-11-03,26036.079999999998
2017-11-04,22143.8
2017-11-05,19974.68
2017-11-06,32303.57
2017-11-07,23597.58
2017-11-08,22737.78
2017-11-09,28334.46
2017-11-10,22038.23
2017-11-11,26174.91
2017-11-12,26001.98
2017-11-13,28691.3
2017-11-14,30932.52
2017-11-15,26699.87
2017-11-16,32360.42
2017-11-17,34105.08
2017-11-18,26770.36
2017-11-19,23312.6
2017-11-20,49373.81
2017-11-21,38509.62
2017-11-22,29647.81
2017-11-23,50034.37
2017-11-24,176599.36
2017-11-25,71179.18
2017-11-26,53080.51
2017-11-27,56097.3
2017-11-28,56063.4
2017-11-29,46840.2
2017-11-30,36539.26
2017-12-01,45360.95
2017-12-02,35425.58
2017-12-03,33785.43
2017-12-04,52182.95
2017-12-05,39455.12
2017-12-06,45490.24
2017-12-07,32795.48
2017-12-08,33352.97
2017-12-09,23639.52
2017-12-10,27782.87
2017-12-11,38608.63
2017-12-12,38107.58
2017-12-13,34127.22
2017-12-14,29508.73
2017-12-15,30935.6
2017-12-16,22741.65
2017-12-17,21959.75
2017-12-18,33560.55
2017-12-19,24134.51
2017-12-20,30792.42
2017-12-21,21247.44
2017-12-22,17182.8
2017-12-23,14198.82
2017-12-24,6653.69
2017-12-25,12289.87
2017-12-26,23280.78
2017-12-27,20789.49
2017-12-28,17358.5
2017-12-29,18620.09
2017-12-30,15201.6
2017-12-31,10131.2
2018-01-01,8307.36
2018-01-02,29410.510000000002
2018-01-03,35911.07
2018-01-04,39382.95
2018-01-05,31204.23
2018-01-06,32581.28
2018-01-07,33632.48
2018-01-08,45176.22
2018-01-09,35216.57
2018-01-10,43823.77
2018-01-11,46198.51
2018-01-12,36223.22
2018-01-13,32449.43
2018-01-14,35064.05
2018-01-15,44231.62
2018-01-16,49405.25
2018-01-17,41798.43
2018-01-18,32765.29
2018-01-19,32846.36
2018-01-20,26770.63
2018-01-21,26100.26
2018-01-22,43215.61
